vm,comparison_vm,num_cands,num_voters,num_profiles,probmod,perc_diff_ws,perc_ssw_w_tb_violation,perc_ssw_w_tb_violation_cond_diff_ws
Beat Path,Stable Voting,4,"(10, 11)",200,IC,0.465,0.06,0.12903225806451613
Beat Path,Stable Voting,4,"(20, 21)",200,IC,0.105,0.045,0.42857142857142855
Beat Path,Stable Voting,4,"(50, 51)",200,IC,0.105,0.0,0.0
Beat Path,Stable Voting,4,"(100, 101)",200,IC,0.105,0.0,0.0
Beat Path,Stable Voting,4,"(500, 501)",200,IC,0.045,0.045,1.0
Beat Path,Stable Voting,4,"(1000, 1001)",200,IC,0.045,0.0,0.0
Beat Path,Stable Voting,4,"(5000, 5001)",200,IC,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(10, 11)",200,IAC,0.29,0.08,0.27586206896551724
Beat Path,Stable Voting,4,"(20, 21)",200,IAC,0.17,0.03,0.17647058823529413
Beat Path,Stable Voting,4,"(50, 51)",200,IAC,0.065,0.015,0.23076923076923078
Beat Path,Stable Voting,4,"(100, 101)",200,IAC,0.06,0.02,0.3333333333333333
Beat Path,Stable Voting,4,"(500, 501)",200,IAC,0.015,0.005,0.3333333333333333
Beat Path,Stable Voting,4,"(1000, 1001)",200,IAC,0.01,0.0,0.0
Beat Path,Stable Voting,4,"(5000, 5001)",200,IAC,0.01,0.01,1.0
Beat Path,Stable Voting,4,"(10, 11)",200,MALLOWS-RELPHI-R,0.045,0.01,0.2222222222222222
Beat Path,Stable Voting,4,"(20, 21)",200,MALLOWS-RELPHI-R,0.025,0.01,0.4
Beat Path,Stable Voting,4,"(50, 51)",200,MALLOWS-RELPHI-R,0.01,0.0,0.0
Beat Path,Stable Voting,4,"(100, 101)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(500, 501)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(1000, 1001)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(5000, 5001)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(10, 11)",200,URN-R,0.115,0.03,0.2608695652173913
Beat Path,Stable Voting,4,"(20, 21)",200,URN-R,0.07,0.01,0.14285714285714285
Beat Path,Stable Voting,4,"(50, 51)",200,URN-R,0.045,0.01,0.2222222222222222
Beat Path,Stable Voting,4,"(100, 101)",200,URN-R,0.035,0.015,0.42857142857142855
Beat Path,Stable Voting,4,"(500, 501)",200,URN-R,0.01,0.005,0.5
Beat Path,Stable Voting,4,"(1000, 1001)",200,URN-R,0.0,0.0,0.0
Beat Path,Stable Voting,4,"(5000, 5001)",200,URN-R,0.0,0.0,0.0
